date (yyyy-mm-dd HH:MM:SS),bottom temperature [°C]
12.09.1941 12:00,5.2
07.10.1941 12:00,5.2
10.11.1941 12:00,5.2
15.12.1941 12:00,5.4
30.03.1942 12:00,3.6
22.04.1942 12:00,5.2
18.05.1942 12:00,5.7
12.06.1942 12:00,5.7
08.07.1942 12:00,5.7
24.08.1942 12:00,6.1
01.10.1942 12:00,6.1
06.01.1943 12:00,3.6
12.03.1943 12:00,4.2
09.09.1947 12:00,5.4
24.06.1948 12:00,5.7
30.03.1949 12:00,4.0
20.04.1949 12:00,4.6
31.05.1949 12:00,4.8
08.07.1949 12:00,4.9
20.07.1949 12:00,4.8
26.08.1949 12:00,5.0
22.09.1949 12:00,4.8
04.11.1949 12:00,4.8
08.12.1949 12:00,5.1
10.01.1950 12:00,4.0
16.02.1950 12:00,3.1
16.03.1950 12:00,3.7
14.04.1950 12:00,4.8
10.05.1950 12:00,5.5
12.06.1950 12:00,5.8
12.07.1950 12:00,5.8
09.08.1950 12:00,5.9
06.09.1950 12:00,5.8
05.10.1950 12:00,5.6
06.11.1950 12:00,5.7
04.12.1950 12:00,5.7
11.09.1952 12:00,4.6
22.01.1953 12:00,3.8
27.03.1953 12:00,3.8
17.04.1953 12:00,4.3
26.05.1953 12:00,4.6
23.06.1953 12:00,4.7
27.07.1953 12:00,4.8
25.08.1953 12:00,4.7
21.09.1953 12:00,4.8
20.10.1953 12:00,4.7
18.11.1953 12:00,4.7
14.12.1953 12:00,4.6
08.02.1954 12:00,3.6
17.03.1954 12:00,3.7
22.04.1954 12:00,5.0
17.05.1954 12:00,5.2
14.06.1954 12:00,5.5
21.07.1954 12:00,5.3
26.08.1954 12:00,5.3
15.09.1954 12:00,5.5
19.10.1954 12:00,5.3
22.11.1954 12:00,5.3
20.12.1954 12:00,5.3
24.01.1955 12:00,3.8
18.07.1955 12:00,4.8
19.09.1955 12:00,4.8
17.02.1956 12:00,3.0
27.03.1956 12:00,3.5
25.04.1956 12:00,4.1
17.05.1956 12:00,4.2
12.06.1956 12:00,4.2
04.07.1956 12:00,4.3
07.08.1956 12:00,4.4
12.09.1956 12:00,4.6
12.10.1956 12:00,4.5
08.11.1956 12:00,4.4
05.12.1956 12:00,4.3
18.02.1958 12:00,3.6
18.03.1958 12:00,3.0
18.04.1958 12:00,4.45
20.05.1958 12:00,4.7
17.06.1958 12:00,4.8
16.07.1958 12:00,5.25
15.08.1958 12:00,5.3
23.09.1958 12:00,5.7
28.10.1958 12:00,6.3
25.11.1958 12:00,6.2
16.12.1958 12:00,5.8
13.01.1959 12:00,3.5
24.03.1959 12:00,4.4
28.04.1959 12:00,4.8
21.05.1959 12:00,5.3
16.06.1959 12:00,6.3
14.07.1959 12:00,7.1
12.08.1959 12:00,7.4
10.09.1959 12:00,8.8
20.10.1959 12:00,8.0
18.11.1959 12:00,8.5
15.12.1959 12:00,6.8
19.01.1960 12:00,4.0
08.03.1960 12:00,3.7
07.04.1960 12:00,4.5
05.05.1960 12:00,4.6
01.06.1960 12:00,4.5
04.07.1960 12:00,4.5
03.08.1960 12:00,4.9
14.09.1960 12:00,5.3
18.10.1960 12:00,5.7
02.11.1960 12:00,6.4
22.11.1960 12:00,6.2
20.12.1960 12:00,5.9
24.01.1961 12:00,3.7
24.02.1961 12:00,3.9
24.03.1961 12:00,4.5
24.04.1961 12:00,4.9
15.05.1961 12:00,5.6
14.06.1961 12:00,5.8
11.07.1961 12:00,6.8
15.08.1961 12:00,7.5
