date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
17.08.1938 12:00,8.6
09.11.1947 12:00,5.1
12.07.1950 12:00,9.4
01.09.1950 12:00,8.1
06.10.1950 12:00,6.5
24.11.1950 12:00,10.1
19.01.1951 12:00,4.7
10.02.1951 12:00,10.6
20.04.1951 12:00,11.9
30.05.1951 12:00,5.8
16.06.1951 12:00,14.5
20.07.1951 12:00,10.1
23.08.1951 12:00,11.1
20.11.1951 12:00,6.8
09.01.1952 12:00,9.8
27.03.1952 12:00,13.0
05.01.1954 12:00,8.6
03.03.1954 12:00,10.7
05.04.1954 12:00,11.1
03.05.1954 12:00,10.9
01.06.1954 12:00,10.1
01.07.1954 12:00,9.4
02.08.1954 12:00,9.1
06.09.1954 12:00,8.2
05.10.1954 12:00,7.5
02.11.1954 12:00,6.6
01.12.1954 12:00,6.3
19.01.1955 12:00,9.6
14.02.1955 12:00,10.3
15.03.1955 12:00,10.8
14.04.1955 12:00,11.7
16.05.1955 12:00,11.0
14.06.1955 12:00,10.3
12.07.1955 12:00,9.7
09.08.1955 12:00,9.0
13.09.1955 12:00,7.9
07.10.1955 12:00,7.8
11.11.1955 12:00,7.3
19.12.1955 12:00,7.5
16.01.1956 12:00,8.4
03.08.1961 12:00,5.2
16.05.1966 12:00,10.2
09.08.1966 12:00,7.4
19.10.1966 12:00,7.1
22.02.1967 12:00,9.9
06.06.1967 12:00,9.3
28.06.1967 12:00,9.2
26.07.1967 12:00,8.0
30.08.1967 12:00,7.9
25.09.1967 12:00,8.2
23.10.1967 12:00,6.6
21.11.1967 12:00,6.2
19.12.1967 12:00,6.8
23.01.1968 12:00,10.3
21.02.1968 12:00,11.0
20.03.1968 12:00,10.5
22.04.1968 12:00,10.2
05.06.1968 12:00,9.4
27.06.1968 12:00,8.8
31.07.1968 12:00,8.1
26.08.1968 12:00,7.6
29.09.1968 12:00,8.0
29.10.1968 12:00,5.0
18.11.1968 12:00,6.4
16.12.1968 12:00,6.3
15.01.1969 12:00,7.3
18.02.1969 12:00,8.0
26.03.1969 12:00,8.5
16.04.1969 12:00,9.8
19.05.1969 12:00,9.4
26.06.1969 12:00,8.4
06.01.1970 12:00,7.1
22.01.1970 12:00,7.2
10.02.1970 12:00,9.3
04.03.1970 12:00,10.0
01.05.1970 12:00,11.1
29.05.1970 12:00,10.1
24.06.1970 12:00,9.0
24.07.1970 12:00,8.3
19.08.1970 12:00,7.8
17.09.1970 12:00,7.3
13.10.1970 12:00,6.5
13.11.1970 12:00,6.4
09.12.1970 12:00,6.2
16.12.1970 12:00,6.7
05.05.1971 12:00,8.0
08.09.1971 12:00,4.5
22.03.1972 12:00,6.1
26.04.1972 12:00,8.4
24.05.1972 12:00,5.9
21.06.1972 12:00,5.2
19.07.1972 12:00,5.0
27.07.1972 12:00,4.1
24.08.1972 12:00,3.8
10.10.1972 12:00,2.9
11.01.1973 12:00,6.1
02.04.1973 12:00,8.2
18.07.1973 12:00,7.0
23.10.1973 12:00,5.0
22.01.1974 12:00,8.6
05.04.1974 12:00,10.3
09.07.1974 12:00,7.0
12.08.1974 12:00,7.2
20.09.1974 12:00,5.7
15.10.1974 12:00,5.6
15.12.1974 12:00,7.9
14.01.1975 12:00,8.3
15.03.1975 12:00,9.3
08.04.1975 12:00,10.1
09.04.1975 12:00,10.3
19.04.1975 12:00,10.1
