date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
05.02.1910 12:00,3.7
03.03.1910 12:00,3.8
21.04.1910 12:00,6.4
02.06.1910 12:00,17.6
22.07.1910 12:00,24.4
19.08.1910 12:00,21.5
04.10.1910 12:00,15.8
22.11.1910 12:00,7.2
30.12.1910 12:00,5.2
19.01.1911 12:00,4.1
28.02.1911 12:00,3.6
24.03.1911 12:00,4.2
22.05.1911 12:00,16.4
29.06.1911 12:00,19.5
23.07.1911 12:00,26.5
17.08.1938 12:00,21.2
09.11.1947 12:00,11.4
12.07.1950 12:00,23.8
01.09.1950 12:00,21.0
06.10.1950 12:00,16.0
24.11.1950 12:00,6.8
19.01.1951 12:00,4.0
10.02.1951 12:00,4.0
20.04.1951 12:00,11.0
30.05.1951 12:00,15.6
16.06.1951 12:00,19.3
20.07.1951 12:00,23.5
23.08.1951 12:00,20.2
20.11.1951 12:00,9.0
09.01.1952 12:00,4.5
27.03.1952 12:00,4.4
05.01.1954 12:00,4.5
03.03.1954 12:00,3.3
05.04.1954 12:00,6.2
03.05.1954 12:00,6.1
01.06.1954 12:00,14.5
01.07.1954 12:00,18.8
02.08.1954 12:00,20.6
06.09.1954 12:00,20.4
05.10.1954 12:00,15.6
02.11.1954 12:00,12.4
01.12.1954 12:00,8.5
19.01.1955 12:00,4.0
14.02.1955 12:00,2.8
15.03.1955 12:00,3.6
14.04.1955 12:00,6.0
16.05.1955 12:00,11.3
14.06.1955 12:00,14.8
12.07.1955 12:00,21.0
09.08.1955 12:00,19.1
13.09.1955 12:00,18.5
07.10.1955 12:00,14.6
11.11.1955 12:00,10.3
19.12.1955 12:00,5.6
16.01.1956 12:00,4.8
03.08.1961 12:00,20.4
16.05.1966 12:00,16.0
09.08.1966 12:00,19.6
19.10.1966 12:00,16.0
22.02.1967 12:00,4.0
14.01.1969 12:00,3.9
15.01.1969 12:00,3.9
18.02.1969 12:00,2.7
20.02.1969 12:00,2.7
26.03.1969 12:00,3.7
16.04.1969 12:00,4.6
19.05.1969 12:00,16.6
21.05.1969 12:00,16.6
18.06.1969 12:00,19.2
26.06.1969 12:00,19.2
24.07.1969 12:00,24.8
21.10.1969 12:00,14.8
08.12.1969 12:00,5.5
06.01.1970 12:00,3.0
22.01.1970 12:00,2.0
10.02.1970 12:00,3.2
04.03.1970 12:00,2.7
17.03.1970 12:00,2.9
30.03.1970 12:00,3.5
01.05.1970 12:00,5.4
29.05.1970 12:00,17.0
24.06.1970 12:00,20.8
24.07.1970 12:00,21.8
