date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
21.04.1910 12:00,10.1
02.06.1910 12:00,3.7
22.07.1910 12:00,2.3
19.08.1910 12:00,8.7
04.10.1910 12:00,12.5
22.11.1910 12:00,32.5
22.05.1911 12:00,1.9
29.06.1911 12:00,4.4
17.08.1938 12:00,7.9
09.11.1947 12:00,12.0
12.07.1950 12:00,8.0
01.09.1950 12:00,7.7
06.10.1950 12:00,18.2
24.11.1950 12:00,0.0
20.04.1951 12:00,1.3
30.05.1951 12:00,6.5
16.06.1951 12:00,5.3
20.07.1951 12:00,7.7
20.11.1951 12:00,23.0
05.04.1954 12:00,3.0
03.05.1954 12:00,11.5
01.06.1954 12:00,5.7
01.07.1954 12:00,6.4
02.08.1954 12:00,9.1
06.09.1954 12:00,10.9
05.10.1954 12:00,12.7
02.11.1954 12:00,12.0
01.12.1954 12:00,13.8
14.02.1955 12:00,85.0
14.04.1955 12:00,11.7
16.05.1955 12:00,11.6
14.06.1955 12:00,11.8
12.07.1955 12:00,8.7
09.08.1955 12:00,9.8
13.09.1955 12:00,11.7
07.10.1955 12:00,11.6
11.11.1955 12:00,16.7
19.12.1955 12:00,24.0
03.08.1961 12:00,8.4
16.05.1966 12:00,5.0
09.08.1966 12:00,7.0
19.10.1966 12:00,11.7
18.02.1969 12:00,85.0
20.02.1969 12:00,85.0
19.05.1969 12:00,1.3
21.05.1969 12:00,1.3
18.06.1969 12:00,4.1
26.06.1969 12:00,5.5
24.07.1969 12:00,4.2
21.10.1969 12:00,8.6
08.12.1969 12:00,34.5
06.01.1970 12:00,85.0
22.01.1970 12:00,85.0
01.05.1970 12:00,5.4
29.05.1970 12:00,2.8
24.06.1970 12:00,4.2
24.07.1970 12:00,5.9
19.08.1970 12:00,7.4
17.09.1970 12:00,9.0
13.10.1970 12:00,12.2
13.11.1970 12:00,17.5
09.12.1970 12:00,24.0
16.12.1970 12:00,53.5
05.05.1971 12:00,85.0
08.09.1971 12:00,6.0
22.03.1972 12:00,4.5
10.04.1972 12:00,4.6
26.04.1972 12:00,24.5
24.05.1972 12:00,2.8
07.06.1972 12:00,4.2
21.06.1972 12:00,6.6
05.07.1972 12:00,7.4
19.07.1972 12:00,5.2
27.07.1972 12:00,5.5
08.08.1972 12:00,6.1
24.08.1972 12:00,8.0
10.10.1972 12:00,12.0
18.07.1973 12:00,5.0
23.10.1973 12:00,11.1
05.04.1974 12:00,2.5
09.07.1974 12:00,7.2
12.08.1974 12:00,9.9
20.09.1974 12:00,8.3
15.10.1974 12:00,11.3
19.04.1975 12:00,2.8
13.05.1975 12:00,5.3
09.06.1975 12:00,8.0
14.07.1975 12:00,5.4
11.08.1975 12:00,7.7
16.08.1975 12:00,6.0
08.09.1975 12:00,7.2
06.10.1975 12:00,8.1
24.10.1975 12:00,11.0
03.11.1975 12:00,11.1
01.12.1975 12:00,24.2
05.04.1976 12:00,1.2
14.06.1976 12:00,5.0
10.08.1976 12:00,5.0
04.10.1976 12:00,9.5
21.03.1977 12:00,12.6
13.06.1977 12:00,5.0
06.09.1977 12:00,7.0
07.11.1977 12:00,12.5
12.06.1978 12:00,5.0
16.08.1978 12:00,7.8
16.10.1978 12:00,11.7
27.08.1979 12:00,9.0
22.10.1979 12:00,11.7
10.06.1980 12:00,5.0
18.08.1980 12:00,6.0
13.10.1980 12:00,12.0
22.06.1981 12:00,5.5
13.08.1981 12:00,5.5
26.10.1981 12:00,16.5
21.06.1982 12:00,5.0
16.08.1982 12:00,5.0
11.10.1982 12:00,9.2
13.06.1983 12:00,5.5
22.08.1983 12:00,5.0
26.10.1983 12:00,12.0
24.04.1984 12:00,1.1
07.05.1984 12:00,4.0
21.05.1984 12:00,6.5
04.06.1984 12:00,7.5
18.06.1984 12:00,4.8
02.07.1984 12:00,4.6
16.07.1984 12:00,8.4
30.07.1984 12:00,6.5
13.08.1984 12:00,8.0
27.08.1984 12:00,7.0
10.09.1984 12:00,8.8
24.09.1984 12:00,9.4
08.10.1984 12:00,11.6
22.10.1984 12:00,13.7
05.11.1984 12:00,13.3
19.11.1984 12:00,16.4
03.12.1984 12:00,18.8
17.12.1984 12:00,24.2
21.01.1985 12:00,85.0
18.02.1985 12:00,85.0
29.04.1985 12:00,22.5
13.05.1985 12:00,2.2
28.05.1985 12:00,4.0
10.06.1985 12:00,4.6
24.06.1985 12:00,8.6
08.07.1985 12:00,6.3
22.07.1985 12:00,5.7
05.08.1985 12:00,6.4
19.08.1985 12:00,7.5
02.09.1985 12:00,8.6
16.09.1985 12:00,8.8
30.09.1985 12:00,8.8
14.10.1985 12:00,8.9
28.10.1985 12:00,10.7
25.11.1985 12:00,24.5
28.04.1986 12:00,4.4
26.05.1986 12:00,3.8
23.06.1986 12:00,2.5
21.07.1986 12:00,5.1
18.08.1986 12:00,5.1
15.09.1986 12:00,8.2
13.10.1986 12:00,8.8
10.11.1986 12:00,19.3
08.12.1986 12:00,25.0
27.04.1987 12:00,0.9
25.05.1987 12:00,1.0
22.06.1987 12:00,9.5
20.07.1987 12:00,5.1
17.08.1987 12:00,7.6
14.09.1987 12:00,6.8
13.10.1987 12:00,11.4
09.11.1987 12:00,11.5
07.12.1987 12:00,24.2
25.04.1988 12:00,4.6
24.05.1988 12:00,4.2
20.06.1988 12:00,5.1
18.07.1988 12:00,7.3
15.08.1988 12:00,5.1
12.09.1988 12:00,7.8
10.10.1988 12:00,11.7
07.11.1988 12:00,11.5
05.12.1988 12:00,48.2
28.03.1989 12:00,1.5
24.04.1989 12:00,0.8
22.05.1989 12:00,3.9
19.06.1989 12:00,5.1
17.07.1989 12:00,5.0
14.08.1989 12:00,7.9
11.09.1989 12:00,9.1
09.10.1989 12:00,10.7
06.11.1989 12:00,11.4
26.03.1990 12:00,5.0
23.04.1990 12:00,7.4
21.05.1990 12:00,4.6
18.06.1990 12:00,5.3
16.07.1990 12:00,5.5
13.08.1990 12:00,5.6
10.09.1990 12:00,8.9
08.10.1990 12:00,10.4
05.11.1990 12:00,17.5
03.12.1990 12:00,50.0
02.04.1991 12:00,12.0
29.04.1991 12:00,3.8
27.05.1991 12:00,3.5
24.06.1991 12:00,5.2
22.07.1991 12:00,6.5
19.08.1991 12:00,7.0
16.09.1991 12:00,7.5
14.10.1991 12:00,10.9
11.11.1991 12:00,17.0
09.12.1991 12:00,52.4
27.04.1992 12:00,2.0
25.05.1992 12:00,3.9
22.06.1992 12:00,6.0
20.07.1992 12:00,6.3
17.08.1992 12:00,6.6
14.09.1992 12:00,8.8
12.10.1992 12:00,9.4
09.11.1992 12:00,16.9
07.12.1992 12:00,37.0
29.03.1993 12:00,6.2
26.04.1993 12:00,2.4
24.05.1993 12:00,4.0
21.06.1993 12:00,6.2
19.07.1993 12:00,7.6
16.08.1993 12:00,7.5
13.09.1993 12:00,8.8
11.10.1993 12:00,11.1
08.11.1993 12:00,13.8
28.03.1994 12:00,3.3
25.04.1994 12:00,2.3
24.05.1994 12:00,6.0
20.06.1994 12:00,4.6
18.07.1994 12:00,5.7
16.08.1994 12:00,6.5
12.09.1994 12:00,9.3
11.10.1994 12:00,11.1
05.12.1994 12:00,17.5
25.04.1995 12:00,2.4
20.06.1995 12:00,6.1
10.07.1995 12:00,4.5
14.08.1995 12:00,6.4
13.09.1995 12:00,10.4
10.10.1995 12:00,10.9
07.11.1995 12:00,12.8
05.12.1995 12:00,28.0
26.03.1996 12:00,2.2
23.04.1996 12:00,2.7
20.05.1996 12:00,6.1
18.06.1996 12:00,5.7
08.07.1996 12:00,8.8
13.08.1996 12:00,7.7
11.09.1996 12:00,9.0
08.10.1996 12:00,11.0
05.11.1996 12:00,13.0
03.12.1996 12:00,25.8
01.04.1997 12:00,5.4
29.04.1997 12:00,13.2
27.05.1997 12:00,4.6
24.06.1997 12:00,6.4
22.07.1997 12:00,7.1
19.08.1997 12:00,6.6
15.09.1997 12:00,7.8
14.10.1997 12:00,11.4
11.11.1997 12:00,14.5
08.12.1997 12:00,35.0
30.03.1998 12:00,0.8
26.04.1998 12:00,2.1
24.05.1998 12:00,6.4
22.06.1998 12:00,6.1
20.07.1998 12:00,8.8
16.08.1998 12:00,8.3
13.09.1998 12:00,8.9
11.10.1998 12:00,13.8
09.11.1998 12:00,22.1
26.04.1999 12:00,0.9
25.05.1999 12:00,4.4
21.06.1999 12:00,6.4
19.07.1999 12:00,6.0
16.08.1999 12:00,6.6
13.09.1999 12:00,6.7
11.10.1999 12:00,10.7
08.11.1999 12:00,11.5
28.02.2000 12:00,0.1
27.03.2000 12:00,16.9
25.04.2000 12:00,5.0
22.05.2000 12:00,6.5
19.06.2000 12:00,3.8
17.07.2000 12:00,8.8
16.08.2000 12:00,6.3
11.09.2000 12:00,8.8
09.10.2000 12:00,9.5
06.11.2000 12:00,11.2
04.12.2000 12:00,12.9
02.04.2001 12:00,2.7
30.04.2001 12:00,11.1
28.05.2001 12:00,4.3
25.06.2001 12:00,7.2
23.07.2001 12:00,7.1
20.08.2001 12:00,6.6
17.09.2001 12:00,8.8
08.10.2001 12:00,10.9
12.11.2001 12:00,17.5
10.12.2001 12:00,33.6
02.04.2002 12:00,1.4
29.04.2002 12:00,6.1
27.05.2002 12:00,4.8
