date,mean annual bottom density
1974,1000.115
1975,1000.1057
1976,1000.0834
1977,1000.1048
1978,1000.0547
1979,1000.1123
1980,1000.1087
1981,1000.1037
1982,1000.1258
1983,1000.1116
1984,1000.1234
1988,1000.1404
1989,1000.1197
1990,1000.0835
1991,1000.158
1992,1000.1061
1993,1000.1387
1994,1000.1081
1995,1000.0977
1996,1000.1528
1997,1000.0618
1998,1000.1017
1999,1000.1305
2000,1000.0874
2001,1000.1084
2002,1000.0673
2003,1000.112
2004,1000.0965
2005,1000.1244
2006,1000.1132
2007,1000.0841
2008,1000.1084
2009,1000.1659
2010,1000.1277
2011,1000.1809
2012,1000.126
2013,1000.1471
2014,1000.1041
2015,1000.1282
2016,1000.1089
2017,1000.0947
2018,1000.1408
2019,1000.0818
2020,1000.0981
2021,1000.0773
2022,1000.0842
2023,1000.0807
