date,mean annual bottom temperature
1974,6.17
1975,6.6
1976,6.82
1977,6.34
1978,7.3
1979,6.26
1980,6.23
1981,5.83
1982,5.75
1983,6.03
1984,6.12
1986,5.8
1987,6.41
1988,6.37
1989,6.76
1990,7.36
1991,6.17
1992,6.48
1993,5.93
1994,6.7
1995,6.94
1996,5.81
1997,7.34
1998,6.76
1999,6.28
2000,7.38
2001,6.85
2002,7.58
2003,6.61
2004,6.93
2005,6.3
2006,6.45
2007,7.2
2008,6.91
2009,5.77
2010,6.14
2011,5.37
2012,5.92
2013,6.11
2014,7.21
2015,6.43
2016,7.1
2017,7.16
2018,6.8
2019,7.41
2020,7.19
2021,7.43
2022,7.5
2023,7.5
