date,mean annual surface conductivity
1974,274.21
1975,267.97
1976,244.4
1977,262.91
1978,280.58
1979,286.36
1980,285.0
1981,276.68
1982,273.35
1983,286.86
1984,308.36
1986,335.21
1987,302.94
1988,305.18
1989,302.07
1990,295.32
1991,324.62
1992,297.8
1993,297.29
1994,297.4
1995,298.91
1996,304.58
1997,305.01
1998,302.15
1999,301.37
2000,290.24
2001,298.48
2002,301.17
2003,293.43
2004,301.13
2005,304.58
2006,314.69
2007,306.83
2008,300.6
2009,321.15
2010,305.08
2011,313.61
2012,303.84
2013,320.81
2014,314.37
2015,314.32
2016,315.13
2017,319.1
2018,324.77
2019,313.59
2020,301.52
2021,313.85
2022,308.66
2023,315.69
