date,mean autumn epilimnion 0-10 m oxygen concentration
1974,9.56
1975,9.06
1976,9.23
1977,9.54
1978,8.78
1979,9.05
1980,9.73
1981,9.4
1982,9.62
1983,10.01
1984,10.19
1985,9.3
1986,10.37
1987,9.51
1988,9.39
1989,8.83
1990,9.2
1991,9.33
1992,8.94
1993,9.39
1994,9.67
1995,9.61
1996,9.78
1997,9.49
1998,9.39
1999,10.0
2000,9.8
2001,11.04
2002,10.55
2003,10.8
2004,9.91
2005,10.23
2006,11.75
2007,10.16
2008,11.06
2009,10.47
2010,10.54
2011,9.63
2012,9.17
2013,9.87
2014,9.88
2015,9.58
2016,9.48
2017,9.61
2018,10.65
2019,9.41
2020,9.8
2021,9.23
2022,9.37
2023,9.0
