date,mean autumn Schmidt stability
1974,68.54
1975,182.27
1976,187.69
1977,114.13
1978,81.9
1979,116.47
1980,144.53
1981,111.81
1982,144.82
1983,165.69
1984,79.11
1985,130.32
1986,155.07
1987,119.88
1988,135.78
1989,176.65
1990,138.63
1991,228.89
1992,175.41
1993,106.01
1994,119.93
1995,123.76
1996,116.32
1997,188.36
1998,103.76
1999,153.99
2000,128.01
2001,169.99
2002,93.86
2003,97.56
2004,136.0
2005,193.64
2006,260.82
2007,116.98
2008,125.98
2009,232.93
2010,133.71
2011,228.66
2012,151.58
2013,189.16
2014,248.89
2015,157.44
2016,199.89
2017,128.7
2018,377.11
2019,191.87
2020,192.3
2021,192.25
2022,216.74
2023,320.61
