date,mean early autumn hypolimnetic oxygen concentration
1974,3.66
1975,1.25
1976,1.98
1977,3.82
1978,2.55
1979,2.16
1980,1.43
1981,4.41
1982,3.52
1983,4.25
1984,4.68
1986,6.2
1987,1.35
1988,0.68
1989,0.66
1990,1.17
1991,1.11
1992,1.71
1993,2.37
1994,2.76
1995,2.57
1996,3.09
1997,3.03
1998,2.92
1999,2.63
2000,2.9
2001,4.29
2002,3.57
2003,2.8
2004,3.33
2005,2.92
2006,3.6
2007,3.19
2008,3.46
2009,2.49
2010,3.52
2011,2.56
2012,4.14
2013,4.26
2014,3.82
2015,2.17
2016,3.85
2017,3.11
2018,3.71
2019,4.55
2020,3.42
2021,5.29
2022,2.78
2023,3.26
