date,mean spring epilimnion 5-10 m oxygen concentration
1974,11.54
1975,11.61
1976,11.85
1977,11.95
1978,11.92
1979,11.93
1980,11.91
1981,12.59
1982,12.54
1983,12.04
1984,12.5
1985,11.81
1986,12.64
1987,12.4
1988,12.77
1989,11.27
1990,11.27
1991,11.44
1992,11.87
1993,12.68
1994,12.48
1995,12.62
1996,12.38
1997,12.09
1998,11.95
1999,12.37
2000,12.07
2001,11.71
2002,11.97
2003,11.36
2004,13.08
2005,13.01
2006,12.12
2007,14.13
2008,14.03
2009,13.97
2010,14.02
2011,13.34
2012,11.85
2013,12.37
2014,11.92
2015,12.48
2016,11.52
2017,11.94
2018,11.91
2019,11.93
2021,11.97
2022,11.71
2023,11.63
