date,mean spring Schmidt stability
1974,106.83
1975,55.5
1976,51.38
1977,13.8
1978,25.18
1979,17.58
1980,11.74
1981,18.98
1982,12.71
1983,1.55
1984,32.51
1985,20.26
1986,26.0
1987,53.9
1988,26.28
1989,41.88
1990,52.98
1991,68.33
1992,63.96
1993,127.19
1994,67.55
1995,83.62
1996,38.53
1997,23.68
1998,56.08
1999,60.53
2000,51.78
2001,33.74
2002,54.28
2003,102.64
2004,44.68
2005,42.26
2006,53.37
2007,153.87
2008,10.05
2009,112.81
2010,64.16
2011,202.25
2012,51.17
2013,60.07
2014,133.33
2015,119.49
2016,44.79
2017,149.47
2018,143.59
2019,51.87
2021,58.06
2022,114.56
2023,43.14
