date,mean summer epilimnion 0-5 m oxygen concentration
1974,11.07
1975,12.49
1976,12.13
1977,10.7
1978,10.64
1979,10.63
1980,11.8
1981,10.52
1982,9.55
1983,10.83
1984,10.49
1985,9.86
1986,11.28
1987,10.35
1988,9.99
1989,10.59
1990,9.39
1991,10.23
1992,10.01
1993,10.05
1994,10.66
1995,10.93
1996,9.63
1997,10.91
1998,9.99
1999,10.56
2000,10.31
2001,10.09
2002,11.22
2003,11.06
2004,11.54
2005,11.59
2006,11.45
2007,10.83
2008,12.09
2009,11.28
2010,11.03
2011,11.97
2012,9.58
2013,11.84
2014,9.74
2015,9.82
2016,11.38
2017,10.2
2018,10.89
2019,10.69
2020,10.98
2021,9.92
2022,10.66
2023,10.35
