date,mean summer thermocline depth
1974,17.59
1975,6.4
1976,11.28
1977,8.36
1978,7.86
1979,14.73
1980,12.34
1981,19.95
1982,10.36
1983,14.49
1984,11.07
1985,10.18
1986,14.33
1987,12.36
1988,14.1
1989,12.44
1990,11.97
1991,15.18
1992,13.47
1993,14.85
1994,10.73
1995,14.05
1996,15.68
1997,17.24
1998,15.2
1999,21.17
2000,11.39
2001,16.82
2002,13.04
2003,10.45
2004,12.62
2005,16.22
2006,11.79
2007,13.48
2008,11.96
2009,14.77
2010,9.61
2011,14.53
2012,11.21
2013,7.34
2014,13.79
2015,13.15
2016,15.96
2017,13.14
2018,13.1
2019,12.96
2020,13.44
2021,15.38
2022,11.88
2023,11.82
