date,mean winter epilimnion 5-10 m oxygen concentration
1974,10.97
1975,10.91
1976,11.28
1977,11.15
1978,11.23
1979,11.1
1980,11.5
1981,11.87
1982,11.98
1983,11.31
1984,11.38
1986,11.58
1987,11.65
1988,10.97
1989,10.75
1990,10.38
1991,11.11
1992,10.96
1993,11.4
1994,11.25
1995,11.15
1996,11.11
1997,10.9
1998,11.47
1999,10.66
2001,10.97
2002,11.99
2003,13.26
2004,12.88
2005,11.22
2006,12.3
2007,11.47
2008,13.95
2009,12.81
2010,12.58
2011,13.0
2012,11.98
2013,12.22
2014,11.53
2015,11.63
2016,11.12
2017,13.73
2018,11.39
2019,11.66
2020,11.26
2021,11.58
2022,11.47
2023,11.39
