date,mean winter hypolimnetic density
1974,1000.1727
1975,1000.1702
1976,1000.1106
1977,1000.1651
1978,1000.1712
1979,1000.1671
1980,1000.1642
1981,1000.1485
1982,1000.1687
1983,1000.1737
1984,1000.1762
1986,1000.2006
1988,1000.1725
1989,1000.1866
1991,1000.1908
1992,1000.1761
1993,1000.1831
1994,1000.1869
1995,1000.1804
1996,1000.2043
1997,1000.1896
1998,1000.1722
1999,1000.1807
2001,1000.19
2002,1000.1749
2003,1000.1905
2004,1000.178
2005,1000.1824
2006,1000.1787
2007,1000.1521
2008,1000.1805
2009,1000.231
2010,1000.1747
2011,1000.1954
2012,1000.1873
2013,1000.1846
2014,1000.1832
2015,1000.1781
2016,1000.1572
2017,1000.1866
2018,1000.1862
2019,1000.2272
2020,1000.1623
2021,1000.1891
2022,1000.1734
2023,1000.1577
