date,mean late autumn Schmidt stability
1987,2583.52
1988,2268.96
1989,2842.13
1990,2256.74
1991,2270.21
1992,2105.5
1993,1882.91
1994,2936.36
1995,2387.2
1996,2476.43
1997,2916.52
1998,1693.7
1999,2076.4
2000,2047.38
2001,2867.87
2002,2436.22
2003,1907.81
2004,2493.25
2005,3332.57
2006,3111.23
2007,2206.36
2008,2715.5
2009,2954.07
2010,2754.24
2011,3037.95
2012,3032.53
2013,2986.65
2014,3477.23
2015,3363.53
2016,3205.77
2017,2753.18
2018,3179.58
2019,3585.89
2020,2988.66
2021,2881.69
2022,4013.54
2023,3323.99
