date,mean winter hypolimnetic density
1988,1000.1056
1989,1000.1113
1990,1000.1101
1991,1000.119
1993,1000.1135
1994,1000.1224
1995,1000.1065
1996,1000.0952
1997,1000.1005
1998,1000.0776
1999,1000.0952
2000,1000.121
2001,1000.1164
2002,1000.117
2003,1000.1009
2004,1000.1106
2005,1000.1211
2006,1000.1356
2007,1000.1338
2008,1000.1256
2009,1000.1152
2010,1000.1188
2011,1000.12
2012,1000.1223
2013,1000.1227
2014,1000.1246
2015,1000.1069
2016,1000.1011
2017,1000.1076
2018,1000.1119
2019,1000.1209
2020,1000.0997
2021,1000.0931
