date,mean annual bottom conductivity
1973,263.9
1974,288.93
1975,289.79
1976,283.33
1977,293.13
1978,291.77
1979,291.75
1980,291.34
1981,293.23
1982,294.9
1983,299.86
1984,294.74
1985,294.82
1986,292.15
1987,277.3
1988,282.48
1989,283.07
1990,279.77
1991,291.9
1992,289.9
1993,291.23
1994,284.29
1995,289.44
1996,292.57
1997,295.62
1998,295.6
1999,299.03
2000,300.76
2004,297.66
2005,293.37
2006,295.6
2007,291.69
2008,297.92
2009,292.19
2010,291.09
2011,293.79
2012,295.0
2013,295.96
2014,298.49
2015,296.92
2016,297.49
2017,299.67
2018,297.61
2019,291.92
2020,289.64
2021,286.06
2022,294.89
2023,294.44
