date,mean annual bottom temperature
1937,4.47
1938,4.41
1939,4.4
1944,4.36
1945,4.25
1946,4.12
1947,4.12
1948,4.3
1949,4.33
1950,4.41
1951,4.31
1952,4.36
1953,4.11
1954,4.17
1955,4.09
1956,4.01
1957,4.13
1958,4.2
1959,4.24
1960,4.3
1961,4.34
1962,4.4
1963,4.36
1964,4.28
1965,4.28
1966,4.37
1967,4.44
1968,4.32
1969,4.21
1970,4.07
1971,4.22
1973,4.14
1974,4.25
1975,4.44
1976,4.34
1977,4.63
1978,4.37
1979,4.26
1980,4.3
1981,4.1
1982,3.97
1983,4.14
1984,4.16
1985,3.93
1986,4.11
1987,4.1
1988,4.29
1989,4.52
1990,4.79
1991,4.35
1992,4.45
1993,4.54
1994,4.6
1995,4.86
1996,4.51
1997,4.53
1998,4.64
1999,4.22
2000,4.41
2001,4.37
2002,4.63
2003,4.25
2004,4.38
2005,4.38
2006,4.23
2007,4.43
2008,4.8
2009,4.6
2010,4.44
2011,4.4
2012,4.3
2013,4.3
2014,4.43
2015,4.63
2016,4.84
2017,4.91
2018,4.71
2019,4.69
2020,5.0
2021,4.93
2022,5.11
2023,5.26
