date,mean annual surface conductivity
1973,232.79
1974,266.96
1975,255.79
1976,236.62
1977,257.84
1978,259.91
1979,256.61
1980,265.68
1981,262.25
1982,253.81
1983,262.49
1984,258.76
1985,260.13
1986,257.2
1987,249.68
1988,246.0
1989,249.98
1990,252.77
1991,257.17
1992,252.08
1993,257.81
1994,252.32
1995,259.71
1996,261.03
1997,256.22
1998,256.84
1999,258.74
2000,259.67
2004,258.52
2005,262.61
2006,263.5
2007,260.74
2008,262.92
2009,255.12
2010,265.6
2011,263.29
2012,262.2
2013,264.31
2014,263.66
2015,254.63
2016,260.32
2017,259.48
2018,249.47
2019,259.98
2020,261.79
2021,267.93
2022,263.74
2023,263.88
