date,mean annual surface temperature
1937,12.18
1938,12.51
1939,11.21
1944,11.88
1945,12.79
1946,13.08
1947,12.82
1948,13.22
1949,14.14
1950,13.13
1951,12.51
1952,12.96
1953,12.11
1954,11.43
1955,11.97
1956,10.98
1957,12.19
1958,12.12
1959,13.38
1960,12.14
1961,13.74
1962,11.97
1963,12.64
1964,11.91
1965,11.08
1966,13.28
1967,12.75
1968,12.52
1969,12.04
1970,11.64
1971,13.3
1973,11.93
1974,12.31
1975,11.98
1976,13.04
1977,12.72
1978,12.41
1979,12.62
1980,11.07
1981,13.08
1982,12.52
1983,12.57
1984,11.85
1985,11.97
1986,12.14
1987,11.76
1988,12.23
1989,12.73
1990,12.86
1991,12.98
1992,12.73
1993,12.82
1994,13.87
1995,13.01
1996,12.18
1997,12.93
1998,12.72
1999,12.99
2000,13.21
2001,13.16
2002,12.99
2003,13.84
2004,13.1
2005,13.11
2006,12.82
2007,13.4
2008,13.2
2009,13.6
2010,12.55
2011,14.14
2012,12.98
2013,12.58
2014,13.83
2015,14.12
2016,13.61
2017,13.55
2018,14.65
2019,14.38
2020,14.15
2021,12.75
2022,14.54
2023,14.04
