date,mean autumn bottom temperature
1936,4.3
1937,4.46
1938,4.48
1939,4.4
1940,4.17
1942,4.2
1943,4.5
1944,4.39
1945,4.27
1946,4.18
1947,4.18
1948,4.35
1949,4.4
1950,4.49
1951,4.39
1952,4.38
1953,4.18
1954,4.26
1955,4.08
1956,4.04
1957,4.19
1958,4.22
1959,4.29
1960,4.37
1961,4.27
1962,4.41
1963,4.33
1964,4.28
1965,4.3
1966,4.4
1967,4.46
1968,4.31
1969,4.21
1970,4.2
1971,4.29
1972,4.14
1973,4.1
1974,4.27
1975,4.42
1976,4.43
1977,4.8
1978,4.39
1979,4.36
1980,4.37
1981,4.03
1982,4.0
1983,4.13
1984,4.1
1985,3.9
1986,4.11
1987,4.04
1988,4.32
1989,4.6
1990,4.84
1991,4.4
1992,4.64
1993,4.58
1994,4.55
1995,4.88
1996,4.53
1997,4.52
1998,4.66
1999,4.22
2000,4.33
2001,4.31
2002,4.65
2003,4.09
2004,4.44
2005,4.4
2006,4.23
2007,4.54
2008,4.9
2009,4.6
2010,4.4
2011,4.4
2012,4.26
2013,4.31
2014,4.5
2015,4.68
2016,4.89
2017,4.9
2018,4.68
2019,4.72
2020,5.13
2021,4.95
2022,5.15
2023,5.28
