date,mean autumn epilimnion 5-10 m oxygen concentration
1936,9.29
1937,10.16
1938,9.69
1939,9.36
1940,5.97
1942,9.4
1943,9.27
1944,10.58
1945,10.49
1946,9.99
1947,9.65
1948,10.42
1949,10.18
1950,9.25
1951,9.37
1952,9.97
1953,7.89
1954,9.83
1955,9.61
1956,9.63
1957,8.75
1958,8.62
1959,8.71
1960,9.49
1961,8.07
1962,8.46
1963,9.03
1964,8.23
1965,9.0
1966,6.32
1967,8.8
1968,9.3
1969,7.41
1970,7.64
1971,9.06
1972,9.32
1973,7.42
1974,8.58
1975,9.45
1976,9.24
1977,9.42
1978,9.17
1979,7.36
1980,6.19
1981,8.16
1982,8.83
1983,8.29
1984,9.54
1985,7.75
1986,7.6
1987,9.42
1988,9.65
1989,9.05
1990,9.09
1991,8.56
1992,9.88
1993,8.02
1994,9.25
1995,9.86
1996,9.75
1997,8.95
1998,9.85
1999,9.76
2000,8.83
2001,10.83
2002,9.39
2003,9.68
2004,9.57
2005,9.08
2006,8.11
2007,9.71
2008,10.29
2009,10.31
2010,9.6
2011,10.04
2012,9.79
2013,9.95
2014,8.9
2015,10.59
2016,10.2
2017,10.42
2018,10.55
2019,9.18
2020,8.93
2021,9.49
2022,10.06
2023,9.76
