date,mean autumn Schmidt stability
1936,2365.17
1937,3203.53
1938,4576.68
1939,3008.89
1940,2731.98
1942,3098.95
1943,3523.92
1944,3351.91
1945,3199.54
1946,3303.66
1947,4295.93
1948,4137.1
1949,5742.57
1950,3319.69
1951,3416.88
1952,2243.41
1953,3635.92
1954,2949.51
1955,2951.02
1956,3490.94
1957,3031.69
1958,3633.08
1959,3951.96
1960,2657.66
1961,5330.88
1962,3615.71
1963,3296.34
1964,3253.75
1965,3175.28
1966,4311.54
1967,4527.17
1968,4093.34
1969,4019.55
1970,3647.55
1971,4433.73
1972,2742.98
1973,3430.08
1974,2484.51
1975,3518.03
1976,4051.14
1977,4368.17
1978,3178.99
1979,3542.12
1980,3468.23
1981,3392.19
1982,4608.75
1983,4934.96
1984,3796.86
1985,5101.6
1986,4120.82
1987,3975.99
1988,3947.28
1989,4064.6
1990,4127.45
1991,4460.21
1992,4260.82
1993,3318.56
1994,4369.24
1995,3754.4
1996,3291.85
1997,4667.12
1998,3453.84
1999,4052.66
2000,4504.57
2001,4080.99
2002,3927.27
2003,3506.45
2004,4666.79
2005,4607.98
2006,4270.16
2007,4720.08
2008,3671.25
2009,5496.54
2010,4192.89
2011,5778.3
2012,4784.29
2013,4478.03
2014,5274.31
2015,4597.34
2016,5366.9
2017,4593.22
2018,5347.62
2019,5191.12
2020,4273.86
2021,5081.91
2022,5047.76
2023,5814.63
