date,mean autumn Secchi depth
1936,2.93
1937,2.47
1938,3.24
1939,2.89
1940,2.89
1946,2.33
1948,2.38
1951,2.36
1952,2.17
1953,2.13
1954,3.62
1955,2.72
1956,2.27
1957,2.0
1958,2.39
1959,2.3
1960,1.81
1961,1.93
1962,3.1
1963,3.5
1964,3.06
1965,4.05
1966,6.66
1967,3.94
1968,4.5
1969,6.43
1970,5.26
1971,6.6
1972,6.45
1973,8.44
1974,5.67
1975,4.59
1976,2.5
1977,3.83
1978,3.25
1979,4.08
1980,5.99
1981,4.67
1982,5.38
1983,4.91
1984,5.5
1985,3.1
1986,3.56
1987,4.85
1988,3.7
1989,4.72
1990,4.41
1991,3.81
1992,3.76
1993,4.32
1994,4.08
1995,4.42
1996,2.69
1997,3.18
1998,2.92
1999,2.86
2000,2.81
2001,2.87
2002,3.45
2003,2.74
2004,3.62
2005,5.88
2006,3.73
2007,4.18
2008,3.26
2009,3.72
2010,4.3
2011,3.11
2012,3.84
2013,3.24
2014,4.35
2015,3.51
2016,2.95
2017,3.86
2018,3.14
2019,5.73
2020,4.19
2021,4.09
2022,3.27
2023,4.58
