date,mean early autumn hypolimnetic oxygen concentration
1936,5.96
1937,6.14
1938,5.95
1939,6.34
1940,7.63
1942,5.54
1943,4.2
1944,5.35
1945,5.45
1946,6.15
1947,6.18
1948,5.74
1949,5.48
1950,5.11
1951,5.6
1952,5.6
1953,6.04
1954,4.98
1955,6.75
1956,6.98
1957,5.32
1958,7.1
1959,5.89
1960,4.64
1961,3.93
1962,6.24
1963,4.14
1964,4.02
1965,4.95
1966,5.73
1967,7.21
1968,7.19
1969,7.29
1970,8.53
1971,6.96
1972,5.13
1973,5.66
1974,6.48
1975,7.52
1976,7.12
1977,6.82
1978,7.18
1979,7.47
1980,6.73
1981,7.58
1982,8.08
1983,7.45
1984,8.07
1985,8.01
1986,7.52
1987,7.82
1988,6.95
1989,5.21
1990,5.78
1991,6.63
1992,6.69
1993,6.33
1994,7.63
1995,7.45
1996,7.02
1997,6.57
1998,4.9
1999,6.77
2000,6.66
2001,4.59
2002,5.32
2003,5.84
2004,6.17
2005,6.18
2006,7.05
2007,4.91
2008,5.26
2009,5.7
2010,5.67
2011,5.0
2012,6.52
2013,6.64
2014,4.57
2015,5.32
2016,4.83
2017,4.52
2018,6.12
2019,5.45
2020,5.76
2021,6.71
2022,6.59
2023,5.96
