date,mean early autumn hypolimnetic oxygen content
1936,13203.97
1937,13591.86
1938,13168.4
1939,14040.64
1940,16884.16
1942,12273.81
1943,9305.48
1944,11849.26
1945,12069.38
1946,13621.04
1947,13687.05
1948,12695.68
1949,12140.37
1950,11305.89
1951,12390.77
1952,12406.7
1953,13369.12
1954,11034.54
1955,14947.86
1956,15441.69
1957,11783.11
1958,15710.65
1959,13037.38
1960,10276.01
1961,8703.44
1962,13819.34
1963,9171.0
1964,8906.47
1965,10952.74
1966,12690.2
1967,15968.04
1968,15916.86
1969,16143.81
1970,18883.98
1971,15416.33
1972,11365.56
1973,12532.53
1974,14353.48
1975,16643.31
1976,15761.24
1977,15095.94
1978,15896.97
1979,16535.01
1980,14905.7
1981,16779.41
1982,17890.47
1983,16481.68
1984,17871.14
1985,17732.44
1986,16638.56
1987,17300.55
1988,15395.28
1989,11528.77
1990,12789.42
1991,14684.19
1992,14813.97
1993,14022.05
1994,16888.45
1995,16496.88
1996,15532.58
1997,14537.15
1998,10853.37
1999,14989.33
2000,14737.33
2001,10167.16
2002,11783.38
2003,12935.96
2004,13652.35
2005,13672.05
2006,15598.61
2007,10871.17
2008,11652.63
2009,12626.43
2010,12548.32
2011,11059.35
2012,14442.26
2013,14698.36
2014,10125.42
2015,11782.13
2016,10698.96
2017,10005.85
2018,13552.2
2019,12066.42
2020,12754.22
2021,14849.76
2022,14584.38
2023,13197.39
