date,mean late autumn Schmidt stability
1936,1038.05
1937,1396.55
1938,1898.66
1939,957.3
1940,1166.7
1942,1177.47
1943,1591.44
1944,1007.46
1945,1515.42
1946,1316.22
1947,1793.64
1948,2074.83
1949,1465.72
1950,1269.14
1951,1426.58
1952,721.35
1953,1781.5
1954,1575.55
1955,1405.48
1956,1292.83
1957,1606.05
1958,1596.48
1959,1423.43
1960,1233.18
1961,1922.93
1962,1521.99
1963,1562.2
1964,1180.73
1965,1544.34
1966,1823.98
1967,2085.22
1968,1656.92
1969,1666.6
1970,1672.31
1971,2690.34
1972,1271.31
1973,1174.32
1974,816.71
1975,1686.67
1976,1805.55
1977,2659.88
1978,1648.51
1979,1364.2
1980,1131.08
1981,1473.57
1982,2058.32
1983,2140.44
1984,2011.35
1985,1502.08
1986,1754.47
1987,2123.06
1988,1616.58
1989,2088.48
1990,1776.61
1991,1538.48
1992,1402.26
1993,1336.27
1994,2370.24
1995,2027.59
1996,1747.6
1997,1678.12
1998,1524.92
1999,2019.49
2000,2259.37
2001,2545.64
2002,1953.43
2003,1434.06
2004,2329.83
2005,2649.12
2006,2722.58
2007,2006.61
2008,1882.65
2009,2425.46
2010,1812.28
2011,2437.48
2012,2122.71
2013,2177.51
2014,2831.75
2015,2263.9
2016,2217.11
2017,2256.3
2018,2652.99
2019,3022.96
2020,2387.97
2021,2423.16
2022,3293.91
2023,2672.6
