date,mean spring bottom oxygen concentration
1937,2.47
1938,1.79
1939,0.87
1940,1.56
1941,0.7
1943,0.05
1944,0.09
1945,0.07
1946,2.11
1947,1.05
1948,2.29
1949,1.93
1950,0.37
1951,2.36
1952,0.76
1953,2.78
1954,0.82
1955,6.35
1956,5.03
1957,2.34
1958,6.52
1959,2.4
1960,0.45
1961,0.34
1962,1.34
1963,0.12
1964,0.23
1965,0.48
1966,4.52
1967,7.26
1968,7.85
1969,4.48
1970,9.58
1971,1.62
1972,6.25
1973,1.96
1974,4.19
1975,5.13
1976,6.23
1977,4.18
1978,7.85
1979,5.26
1980,6.41
1981,5.84
1982,5.78
1983,5.69
1984,2.96
1985,7.21
1986,6.49
1987,6.27
1988,3.47
1989,0.69
1990,3.08
1991,7.97
1992,5.1
1993,4.1
1994,8.5
1995,5.99
1996,7.67
1997,5.1
1998,1.9
1999,8.21
2000,4.93
2001,1.93
2002,3.67
2003,5.14
2004,1.69
2005,2.18
2006,2.76
2007,1.1
2008,1.62
2009,4.79
2010,1.45
2011,1.07
2012,0.76
2013,0.89
2014,0.08
2015,0.99
2016,0.03
2017,0.24
2018,2.41
2019,1.26
2020,1.11
2021,6.87
2022,3.13
2023,3.82
