date,mean spring Secchi depth
1937,4.51
1938,4.04
1939,3.76
1940,8.56
1941,5.63
1945,3.81
1946,3.96
1950,4.32
1951,5.1
1952,5.47
1953,3.52
1954,4.82
1955,7.64
1956,7.65
1957,2.92
1958,5.16
1959,3.28
1960,2.72
1961,2.65
1962,3.52
1963,1.9
1964,4.01
1965,4.46
1966,4.48
1967,5.4
1968,3.42
1969,5.85
1970,8.05
1971,2.57
1972,5.76
1973,3.89
1974,3.56
1975,5.94
1976,3.17
1977,4.11
1978,4.75
1979,5.1
1980,5.4
1981,3.57
1982,4.69
1983,5.02
1984,4.35
1985,5.74
1986,6.06
1987,5.03
1988,4.24
1989,3.66
1990,4.65
1991,4.02
1992,3.22
1993,5.98
1994,4.09
1995,5.92
1996,4.3
1997,3.79
1998,3.15
1999,3.12
2000,4.32
2001,2.55
2002,3.69
2003,4.58
2004,5.89
2005,5.49
2006,5.45
2007,4.13
2008,4.37
2009,7.06
2010,4.86
2011,6.33
2012,4.48
2013,5.03
2014,4.61
2015,3.76
2016,3.45
2017,3.63
2018,4.57
2019,3.8
2020,6.26
2021,5.38
2022,5.47
2023,5.06
