date,mean summer epilimnion 0-5 m oxygen concentration
1936,12.42
1937,11.19
1938,10.64
1939,11.72
1940,11.7
1941,10.53
1942,11.6
1943,11.48
1944,10.86
1945,10.98
1946,11.14
1947,11.01
1948,11.57
1949,11.2
1950,11.76
1951,12.14
1952,11.0
1953,12.24
1954,12.48
1955,11.98
1956,11.6
1957,12.66
1958,12.23
1959,11.97
1960,11.24
1961,11.76
1962,11.73
1963,11.87
1964,10.74
1965,11.43
1966,11.16
1967,11.73
1968,11.23
1969,11.09
1970,10.45
1971,10.62
1972,11.71
1973,11.0
1974,11.64
1975,11.84
1976,12.38
1977,12.13
1978,12.2
1979,11.76
1980,11.26
1981,11.23
1982,12.16
1983,11.77
1984,11.8
1985,10.37
1986,11.11
1987,10.36
1988,10.27
1989,10.66
1990,10.66
1991,11.72
1992,10.65
1993,11.31
1994,11.09
1995,10.65
1996,10.4
1997,11.31
1998,10.96
1999,10.9
2000,10.17
2001,11.25
2002,11.02
2003,10.22
2004,10.89
2005,9.46
2006,9.92
2007,9.73
2008,10.17
2009,10.49
2010,9.84
2011,10.51
2012,10.3
2013,9.95
2014,10.3
2015,9.93
2016,10.55
2017,9.99
2018,9.56
2019,9.7
2020,9.98
2021,10.06
2022,9.5
2023,9.85
