date,mean summer Secchi depth
1937,3.24
1938,5.56
1939,3.05
1940,2.31
1944,4.12
1946,4.62
1950,2.88
1951,3.52
1952,2.89
1953,2.94
1954,3.13
1955,3.22
1956,2.61
1957,2.82
1958,3.27
1959,2.08
1960,2.4
1961,3.99
1962,3.63
1963,3.28
1964,3.51
1965,4.98
1966,4.37
1967,5.42
1968,3.69
1969,6.43
1970,3.76
1971,3.81
1972,5.02
1973,3.96
1974,5.78
1975,4.25
1976,3.46
1977,4.15
1978,4.37
1979,3.81
1980,5.91
1981,5.68
1982,3.58
1983,4.59
1984,3.78
1985,5.61
1986,5.26
1987,5.84
1988,3.81
1989,4.91
1990,4.87
1991,3.41
1992,4.16
1993,3.37
1994,3.57
1995,4.78
1996,3.4
1997,3.42
1998,5.28
1999,3.87
2000,4.01
2001,4.27
2002,4.13
2003,4.88
2004,3.84
2005,5.06
2006,4.18
2007,3.39
2008,5.62
2009,5.34
2010,5.22
2011,3.51
2012,3.79
2013,7.41
2014,4.58
2015,4.69
2016,4.31
2017,4.62
2018,5.08
2019,5.0
2020,4.66
2021,3.94
2022,5.02
2023,4.71
