date,mean winter bottom oxygen concentration
1937,0.46
1938,0.82
1939,0.8
1944,0.04
1945,0.04
1946,0.33
1947,0.3
1948,0.28
1949,0.23
1950,0.27
1951,0.57
1952,1.98
1953,0.27
1954,0.73
1955,0.13
1956,1.59
1957,0.71
1958,1.58
1959,2.15
1960,0.55
1961,0.26
1962,0.29
1963,0.65
1964,0.27
1965,0.43
1967,1.85
1968,3.82
1970,3.04
1971,2.05
1973,0.58
1974,6.27
1975,3.96
1976,3.44
1977,0.94
1978,3.61
1979,5.15
1980,0.57
1981,1.63
1982,3.18
1983,1.79
1984,2.79
1985,1.0
1986,1.76
1987,3.35
1988,1.47
1989,0.78
1990,0.61
1991,4.88
1992,1.46
1993,1.65
1994,4.13
1995,2.57
1996,1.64
1997,1.18
1998,3.49
1999,0.43
2000,3.67
2001,0.03
2002,0.0
2003,1.31
2004,0.69
2005,1.45
2006,0.0
2007,1.03
2008,0.1
2009,0.16
2010,0.27
2011,0.58
2012,0.77
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.96
2020,0.53
2021,0.18
2022,2.39
2023,1.38
