date,mean winter bottom temperature
1937,4.46
1938,4.47
1939,4.4
1944,4.3
1945,4.2
1946,4.1
1947,4.06
1948,4.21
1949,4.39
1950,4.32
1951,4.4
1952,4.45
1953,4.2
1954,4.09
1955,4.18
1956,4.13
1957,3.99
1958,4.13
1959,4.2
1960,4.2
1961,4.3
1962,4.4
1963,4.4
1964,4.38
1965,4.3
1967,4.5
1968,4.49
1969,4.26
1970,4.33
1971,4.19
1973,4.37
1974,4.23
1975,4.27
1976,4.64
1977,4.36
1978,4.8
1979,4.4
1980,4.3
1981,4.26
1982,4.04
1983,4.04
1984,4.2
1985,4.04
1986,4.1
1987,4.17
1988,4.2
1989,4.46
1990,4.6
1991,4.7
1992,4.4
1993,4.64
1994,4.84
1995,4.58
1996,4.94
1997,4.56
1998,4.55
1999,4.59
2000,4.37
2001,4.46
2002,4.5
2003,4.82
2004,4.24
2005,4.5
2006,4.4
2007,4.24
2008,4.62
2009,4.9
2010,4.6
2011,4.38
2012,4.44
2013,4.3
2014,4.4
2015,4.51
2016,4.73
2017,4.92
2018,4.89
2019,4.64
2020,4.72
2021,5.19
2022,4.99
2023,5.21
