date,mean winter epilimnion 5-10 m oxygen concentration
1937,10.06
1938,9.68
1939,9.81
1944,9.03
1945,10.16
1946,10.3
1947,9.85
1948,9.14
1949,9.11
1950,9.57
1951,8.76
1952,9.06
1953,9.37
1954,9.62
1955,8.94
1956,9.91
1957,9.49
1958,8.44
1959,9.27
1960,9.03
1961,8.57
1962,7.9
1963,9.85
1964,7.86
1965,8.18
1967,8.33
1968,8.69
1970,8.73
1971,9.71
1973,8.09
1974,8.64
1975,9.42
1976,9.32
1977,8.38
1978,9.48
1979,9.25
1980,9.03
1981,8.77
1982,10.39
1983,9.52
1984,9.48
1985,9.18
1986,9.28
1987,9.49
1988,9.56
1989,9.54
1990,8.44
1991,8.57
1992,9.05
1993,9.05
1994,9.55
1995,9.46
1996,9.33
1997,9.44
1998,9.21
1999,9.09
2000,9.51
2001,9.38
2002,8.87
2003,9.07
2004,8.91
2005,8.86
2006,9.48
2007,9.82
2008,9.44
2009,9.48
2010,8.73
2011,9.79
2012,9.33
2013,9.99
2014,10.06
2015,9.09
2016,9.31
2017,8.95
2018,9.3
2019,9.35
2020,10.02
2021,8.89
2022,9.81
2023,9.21
