date,mean winter Secchi depth
1937,4.87
1938,6.64
1939,5.99
1946,5.16
1950,4.27
1951,5.38
1952,4.78
1953,5.72
1954,4.4
1955,9.11
1956,6.85
1957,6.34
1958,6.74
1959,5.56
1960,4.06
1961,3.69
1962,4.47
1963,3.64
1964,9.52
1965,7.08
1967,10.13
1968,9.44
1970,11.46
1971,9.01
1973,12.18
1974,11.0
1975,10.79
1976,8.71
1977,13.95
1978,8.49
1979,4.7
1980,8.05
1981,10.33
1982,5.2
1983,9.19
1984,10.26
1985,10.89
1986,10.58
1987,7.23
1988,8.43
1989,4.81
1990,7.58
1991,7.01
1992,6.48
1993,7.36
1994,7.91
1995,7.8
1996,6.06
1997,6.25
1998,4.81
1999,5.68
2000,5.31
2001,4.15
2003,7.48
2004,7.01
2005,7.38
2006,7.32
2007,5.05
2008,5.24
2009,4.5
2010,5.48
2011,5.69
2012,3.83
2013,4.01
2014,4.55
2015,4.51
2016,4.89
2017,4.42
2018,4.38
2019,4.71
2020,5.87
2021,7.14
2022,6.02
2023,4.49
