date,mean winter surface oxygen concentration
1937,10.26
1938,10.04
1939,9.77
1944,8.2
1945,10.12
1946,10.55
1947,10.19
1948,9.19
1949,9.11
1950,9.6
1951,8.73
1952,9.37
1953,9.49
1954,9.04
1955,9.04
1956,9.73
1957,10.04
1958,8.37
1959,9.49
1960,9.03
1961,8.6
1962,7.87
1963,11.8
1964,8.03
1965,8.36
1967,8.33
1968,8.73
1970,8.74
1971,9.69
1973,8.39
1974,8.79
1975,9.46
1976,9.35
1977,8.38
1978,9.51
1979,9.5
1980,9.14
1981,8.89
1982,10.42
1983,9.56
1984,9.51
1985,9.22
1986,9.37
1987,9.56
1988,9.36
1989,9.54
1990,8.46
1991,8.7
1992,9.05
1993,9.1
1994,9.3
1995,9.47
1996,9.28
1997,9.52
1998,9.22
1999,9.07
2000,9.54
2001,9.43
2002,9.24
2003,9.17
2004,9.01
2005,8.99
2006,9.42
2007,9.79
2008,9.95
2009,9.6
2010,8.86
2011,9.99
2012,9.4
2013,10.08
2014,10.06
2015,9.11
2016,9.38
2017,9.02
2018,9.3
2019,9.38
2020,9.94
2021,8.98
2022,9.81
2023,9.31
