date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1969,250.0
1970,250.0
1971,250.0
1972,141.0
1973,55.0
1974,222.0
1975,148.0
1976,250.0
1977,221.0
1978,199.0
1979,204.0
1980,79.0
1981,80.0
1982,81.0
1983,144.0
1984,250.0
1985,250.0
1986,250.0
1987,250.0
1988,133.0
1989,106.0
1990,199.0
1991,250.0
1992,196.0
1993,211.0
1994,220.0
1995,138.0
1996,250.0
1997,250.0
1998,109.0
1999,250.0
2000,235.0
2001,118.0
2002,222.0
2003,250.0
2004,246.0
2005,250.0
2006,250.0
2007,50.0
2008,117.0
2009,231.0
2010,235.0
2011,195.0
2012,250.0
2013,226.0
2014,76.0
2015,107.0
2016,55.0
2017,107.0
2018,83.0
2019,108.0
2020,106.0
2021,112.0
2022,132.0
2023,176.0
