date,mean annual bottom conductivity
1964,336.91
1969,308.25
1970,329.54
1971,329.77
1972,324.1
1973,311.21
1974,309.25
1975,314.13
1976,330.65
1977,338.41
1978,336.16
1979,342.9
1981,349.78
1982,347.19
1983,334.07
1984,329.39
1985,336.52
1986,338.47
1987,357.85
1988,355.23
1989,354.41
1990,356.56
1991,357.01
1992,337.02
1993,331.87
1994,329.98
1995,331.82
1996,331.18
1997,333.17
1998,333.56
1999,332.68
2000,331.58
2001,332.82
2002,330.53
2003,329.91
2004,331.86
2005,331.02
2006,338.1
2007,338.42
2008,339.33
2009,341.79
2010,341.5
2011,345.71
2012,346.09
2013,344.3
2014,344.24
2015,338.11
2016,347.79
2017,347.22
2018,347.85
2019,346.86
2020,346.62
2021,345.49
2022,343.75
2023,341.4
