date,mean annual surface conductivity
1964,298.5
1969,271.52
1970,281.97
1971,286.29
1972,291.25
1973,254.83
1974,278.32
1975,273.81
1976,299.68
1977,301.93
1978,306.69
1979,288.69
1981,288.11
1982,289.43
1983,289.39
1984,293.4
1985,296.62
1986,295.64
1987,314.01
1988,310.17
1989,311.5
1990,316.4
1991,322.15
1992,301.35
1993,301.44
1994,296.55
1995,299.41
1996,305.88
1997,304.83
1998,301.34
1999,296.22
2000,293.07
2001,297.67
2002,301.59
2003,296.17
2004,304.32
2005,307.23
2006,310.26
2007,310.54
2008,309.79
2009,304.94
2010,312.73
2011,314.73
2012,308.49
2013,310.1
2014,311.37
2015,303.27
2016,311.48
2017,316.74
2018,305.04
2019,312.49
2020,313.32
2021,319.8
2022,314.83
2023,321.32
