date,mean autumn epilimnion 0-5 m oxygen concentration
1963,10.77
1964,10.48
1965,9.91
1966,9.86
1967,10.23
1968,9.92
1969,9.76
1970,9.94
1971,9.42
1972,9.89
1973,9.8
1974,10.25
1975,10.92
1976,11.13
1977,12.38
1978,10.76
1979,10.39
1980,10.85
1981,10.67
1982,9.36
1983,10.45
1984,10.23
1985,10.44
1986,10.6
1987,9.74
1988,9.3
1989,10.03
1990,10.34
1991,9.43
1992,9.66
1993,9.6
1994,9.84
1995,10.93
1996,9.74
1997,9.62
1998,9.75
1999,9.64
2000,9.51
2001,10.5
2002,9.72
2003,9.56
2004,10.2
2005,9.93
2006,9.73
2007,9.64
2008,9.85
2009,9.63
2010,10.04
2011,9.29
2012,9.68
2013,9.67
2014,10.02
2015,9.93
2016,9.47
2017,9.65
2018,9.78
2019,9.86
2020,9.89
2021,9.28
2022,9.23
2023,9.25
