date,mean autumn hypolimnetic oxygen concentration
1963,10.09
1964,9.38
1965,9.23
1966,9.36
1967,9.65
1968,9.86
1969,9.44
1970,9.99
1971,9.28
1972,8.41
1973,9.09
1974,9.66
1975,9.88
1976,9.52
1977,10.13
1978,9.88
1979,10.27
1980,9.62
1981,9.8
1982,9.98
1983,10.23
1984,9.68
1985,9.68
1986,10.1
1987,9.25
1988,9.16
1989,9.12
1990,9.08
1991,9.06
1992,9.55
1993,9.14
1994,9.57
1995,9.59
1996,9.75
1997,9.63
1998,9.43
1999,9.74
2000,9.76
2001,9.26
2002,9.62
2003,9.49
2004,9.93
2005,9.78
2006,10.24
2007,9.27
2008,9.3
2009,9.74
2010,9.9
2011,9.55
2012,9.79
2013,9.78
2014,9.0
2015,9.37
2016,8.99
2017,9.32
2018,10.06
2019,9.83
2020,9.67
2021,9.61
2022,9.56
2023,9.43
