date,mean autumn surface oxygen concentration
1963,10.58
1964,10.5
1965,9.91
1966,9.82
1967,10.3
1968,9.89
1969,9.77
1970,10.04
1971,9.54
1972,10.08
1973,9.65
1974,10.6
1975,11.03
1976,11.16
1977,12.45
1978,11.0
1979,10.46
1980,10.62
1981,10.61
1982,9.73
1983,10.15
1984,10.17
1985,10.48
1986,10.64
1987,9.62
1988,9.28
1989,9.97
1990,10.3
1991,9.42
1992,9.68
1993,9.6
1994,9.89
1995,10.99
1996,9.77
1997,9.64
1998,9.73
1999,9.64
2000,9.53
2001,10.49
2002,9.77
2003,9.6
2004,10.14
2005,10.0
2006,9.74
2007,9.61
2008,9.89
2009,9.68
2010,10.13
2011,9.29
2012,9.68
2013,9.67
2014,10.05
2015,9.98
2016,9.47
2017,9.65
2018,9.73
2019,9.83
2020,9.58
2021,9.31
2022,9.17
2023,9.26
