date,mean late autumn hypolimnetic oxygen concentration
1963,9.73
1964,9.27
1965,9.3
1966,9.38
1967,9.43
1968,9.76
1969,9.53
1970,9.84
1971,9.28
1972,8.13
1973,8.61
1974,9.46
1975,9.52
1976,9.85
1977,9.49
1978,9.94
1979,9.98
1980,9.86
1981,9.83
1982,9.53
1983,10.18
1984,9.17
1985,9.56
1986,10.29
1987,9.13
1988,9.73
1989,8.76
1990,8.83
1991,8.88
1992,9.43
1993,9.33
1994,9.2
1995,9.57
1996,9.84
1997,9.55
1998,9.4
1999,9.57
2000,9.74
2001,9.37
2002,9.77
2003,9.41
2004,9.82
2005,9.53
2006,10.14
2007,9.57
2008,9.4
2009,9.6
2010,9.88
2011,9.43
2012,9.76
2013,9.7
2014,9.06
2015,9.19
2016,9.04
2017,9.37
2018,9.57
2019,9.82
2020,9.46
2021,9.48
2022,9.52
2023,9.35
