date,mean spring bottom oxygen concentration
1963,10.62
1964,7.39
1966,8.76
1967,9.04
1968,9.8
1969,8.8
1970,10.61
1971,6.98
1972,5.38
1973,5.52
1974,8.58
1975,7.34
1976,9.94
1977,9.35
1978,10.27
1979,10.74
1980,8.52
1981,10.71
1982,9.58
1983,8.86
1984,10.77
1985,9.53
1986,9.14
1987,9.19
1988,7.34
1989,5.87
1990,6.51
1991,9.09
1992,9.58
1993,7.14
1994,10.1
1995,8.43
1996,10.08
1997,9.04
1998,7.56
1999,10.62
2000,10.09
2001,8.05
2002,8.57
2003,10.1
2004,10.26
2005,10.59
2006,10.82
2007,8.74
2008,8.15
2009,10.42
2010,10.71
2011,9.42
2012,10.46
2013,8.55
2014,7.34
2015,7.87
2016,6.97
2017,8.28
2018,10.94
2019,8.97
2020,8.74
2021,8.76
2022,8.32
2023,8.62
