date,mean spring epilimnion 0-10 m oxygen concentration
1963,12.23
1964,11.76
1966,12.4
1967,11.56
1968,13.71
1969,11.18
1970,10.95
1971,12.29
1972,11.69
1973,11.14
1974,12.64
1975,13.22
1976,13.23
1977,13.06
1978,12.6
1979,11.95
1980,12.23
1981,13.39
1982,12.43
1983,11.63
1984,12.78
1985,11.84
1986,12.81
1987,11.49
1988,12.22
1989,12.62
1990,12.12
1991,11.85
1992,11.63
1993,12.16
1994,12.32
1995,12.48
1996,12.59
1997,12.02
1998,11.87
1999,12.79
2000,12.31
2001,11.98
2002,12.32
2003,11.88
2004,12.03
2005,12.36
2006,11.83
2007,11.63
2008,11.52
2009,11.75
2010,11.87
2011,12.83
2012,12.19
2013,11.72
2014,11.55
2015,11.48
2016,11.79
2017,11.84
2018,11.86
2019,12.0
2020,11.96
2021,11.61
2022,11.96
2023,11.66
