date,mean spring Secchi depth
1974,5.88
1975,9.56
1976,3.89
1977,6.07
1978,6.03
1979,9.19
1980,5.84
1981,7.58
1982,7.22
1983,9.18
1984,8.11
1985,10.3
1986,9.13
1987,8.07
1988,3.85
1989,2.63
1990,4.21
1991,4.64
1992,6.64
1993,5.85
1994,4.8
1995,6.84
1996,6.96
1997,6.31
1998,6.99
1999,4.68
2000,5.81
2001,3.74
2002,4.74
2003,6.92
2004,6.84
2005,5.47
2006,8.35
2007,7.36
2008,7.99
2009,6.78
2010,5.5
2011,6.35
2012,4.68
2013,6.64
2014,7.23
2015,8.32
2016,6.24
2017,4.86
2018,8.64
2019,4.9
2020,5.37
2021,6.27
2022,5.3
2023,5.62
