date,mean spring surface temperature
1968,13.7
1969,5.9
1970,4.66
1971,7.03
1972,6.42
1973,5.22
1974,7.84
1975,8.15
1976,8.6
1977,6.29
1978,7.25
1979,5.64
1980,6.87
1981,6.5
1982,6.87
1983,5.43
1984,5.92
1985,5.07
1986,6.57
1987,5.59
1988,8.1
1989,8.16
1990,8.99
1991,7.19
1992,6.09
1993,7.42
1994,7.31
1995,7.11
1996,7.57
1997,6.68
1998,6.76
1999,7.51
2000,7.15
2001,7.82
2002,7.57
2003,7.35
2004,7.33
2005,9.11
2006,5.9
2007,9.01
2008,7.35
2009,9.3
2010,7.13
2011,10.78
2012,8.4
2013,5.26
2014,11.11
2015,7.41
2016,8.68
2017,11.08
2018,8.9
2019,7.87
2020,9.34
2021,7.87
2022,9.16
2023,8.4
