date,mean summer bottom oxygen concentration
1963,7.39
1964,5.01
1965,7.05
1966,6.9
1967,7.87
1968,8.38
1969,7.05
1970,8.11
1971,6.14
1972,5.03
1973,3.72
1974,6.53
1975,6.17
1976,7.1
1977,7.82
1978,8.67
1979,8.54
1980,8.09
1981,8.49
1982,8.8
1983,8.41
1984,8.42
1985,7.6
1986,8.26
1987,8.32
1988,6.07
1989,5.0
1990,5.85
1991,7.34
1992,7.75
1993,6.26
1994,8.75
1995,7.22
1996,8.97
1997,7.85
1998,6.98
1999,9.26
2000,8.47
2001,7.51
2002,7.66
2003,8.8
2004,8.62
2005,8.8
2006,9.53
2007,8.2
2008,7.73
2009,8.8
2010,9.52
2011,7.95
2012,9.23
2013,7.81
2014,7.01
2015,7.35
2016,6.94
2017,7.7
2018,9.27
2019,8.71
2020,8.2
2021,8.38
2022,7.85
2023,7.84
