date,mean summer epilimnion 0-10 m oxygen concentration
1963,9.81
1964,10.29
1965,10.0
1966,10.21
1967,9.89
1968,9.95
1969,10.12
1970,9.89
1971,9.75
1972,11.75
1973,10.97
1974,12.26
1975,11.65
1976,10.1
1977,11.31
1978,10.46
1979,10.81
1980,12.62
1981,14.02
1982,11.18
1983,12.31
1984,9.9
1985,10.45
1986,9.84
1987,9.93
1988,9.43
1989,8.87
1990,10.5
1991,9.91
1992,9.98
1993,10.32
1994,10.97
1995,10.59
1996,10.25
1997,10.2
1998,9.86
1999,10.66
2000,9.78
2001,10.17
2002,9.68
2003,10.31
2004,10.21
2005,9.99
2006,9.55
2007,10.03
2008,10.07
2009,10.47
2010,10.28
2011,10.15
2012,9.98
2013,10.42
2014,9.9
2015,10.4
2016,9.74
2017,9.72
2018,10.33
2019,10.5
2020,10.24
2021,9.67
2022,9.72
2023,9.39
