date,mean summer hypolimnetic oxygen concentration
1963,10.43
1964,9.36
1965,9.79
1966,9.81
1967,10.02
1968,10.37
1969,9.94
1970,10.49
1971,9.51
1972,8.9
1973,9.49
1974,9.87
1975,10.31
1976,10.22
1977,10.2
1978,11.04
1979,10.35
1980,10.34
1981,10.9
1982,10.58
1983,10.46
1984,10.33
1985,10.19
1986,10.4
1987,10.03
1988,9.65
1989,8.77
1990,9.41
1991,9.49
1992,10.03
1993,9.71
1994,10.38
1995,10.28
1996,10.56
1997,10.15
1998,9.99
1999,10.45
2000,10.46
2001,9.85
2002,10.23
2003,10.13
2004,10.27
2005,10.41
2006,10.78
2007,9.93
2008,10.03
2009,10.32
2010,10.55
2011,10.17
2012,10.44
2013,10.49
2014,9.52
2015,10.01
2016,9.49
2017,9.83
2018,10.42
2019,10.04
2020,10.19
2021,9.78
2022,10.02
2023,9.96
