date,mean summer surface temperature
1967,20.6
1968,14.12
1969,16.73
1970,19.09
1971,19.7
1972,20.43
1973,20.83
1974,18.32
1975,18.17
1976,23.05
1977,19.76
1978,16.57
1979,18.94
1980,17.19
1981,19.61
1982,18.51
1983,18.83
1984,14.9
1985,18.66
1986,19.18
1987,18.51
1988,19.37
1989,17.62
1990,19.67
1991,18.78
1992,20.77
1993,20.68
1994,23.75
1995,22.17
1996,14.73
1997,18.7
1998,19.59
1999,20.4
2000,20.01
2001,19.36
2002,20.61
2003,22.89
2004,19.88
2005,21.7
2006,20.5
2007,19.1
2008,20.58
2009,20.62
2010,21.84
2011,19.04
2012,20.96
2013,19.61
2014,20.23
2015,24.2
2016,22.98
2017,22.47
2018,23.19
2019,23.14
2020,20.88
2021,20.68
2022,22.98
2023,18.46
