date,mean winter Schmidt stability
1968,-17.66
1969,90.88
1970,-6.73
1971,45.61
1972,180.17
1973,66.2
1974,-16.9
1975,264.13
1976,73.79
1977,13.39
1978,108.64
1979,47.34
1980,122.23
1981,1.5
1982,27.63
1983,426.09
1984,102.23
1985,-4.69
1986,125.2
1987,-0.36
1988,415.99
1989,197.29
1990,138.44
1991,75.95
1992,83.55
1993,136.37
1994,73.73
1995,113.38
1996,17.12
1997,23.51
1998,383.62
1999,145.84
2000,35.32
2001,498.6
2002,48.52
2003,408.5
2004,186.35
2005,202.05
2006,27.95
2007,559.69
2008,299.84
2009,56.74
2010,79.55
2011,134.91
2012,234.05
2013,438.98
2014,365.26
2015,340.16
2016,524.65
2017,199.3
2018,261.79
2019,151.94
2020,866.62
2021,338.91
2022,383.85
2023,771.45
