date,mean winter bottom oxygen concentration
1964,6.08
1965,6.49
1966,7.59
1967,7.58
1968,8.27
1969,6.36
1970,7.3
1971,7.5
1972,4.63
1973,4.72
1974,6.83
1975,7.17
1976,6.44
1977,8.96
1978,7.19
1979,8.5
1980,7.4
1981,8.85
1982,8.89
1983,8.1
1984,8.26
1985,7.1
1986,6.88
1987,8.76
1988,7.54
1989,6.26
1990,5.11
1991,5.45
1992,7.19
1993,6.84
1994,7.46
1995,7.72
1996,7.1
1997,9.09
1998,7.37
1999,7.18
2000,8.29
2001,7.61
2002,6.99
2003,8.04
2004,8.51
2005,8.05
2006,9.58
2007,9.03
2008,7.7
2009,7.45
2010,8.2
2011,9.02
2012,8.46
2013,8.2
2014,7.77
2015,6.96
2016,6.42
2017,6.61
2018,8.05
2019,8.77
2020,8.21
2021,7.63
2022,7.94
2023,7.64
