date,mean winter Secchi depth
1974,12.56
1975,8.54
1976,12.12
1977,14.33
1978,9.96
1979,12.23
1980,11.39
1981,11.21
1982,10.45
1983,10.13
1984,8.62
1985,14.44
1986,12.15
1987,11.01
1988,7.69
1989,10.7
1990,12.88
1991,12.59
1992,7.36
1993,11.02
1994,9.36
1995,10.01
1996,11.4
1997,12.27
1998,8.18
1999,12.3
2000,9.79
2001,11.12
2002,14.38
2003,7.83
2004,13.53
2005,13.0
2006,9.65
2007,10.31
2008,12.18
2009,8.8
2010,8.9
2011,10.02
2012,10.71
2013,6.61
2014,8.0
2015,8.57
2016,10.87
2017,8.21
2018,11.7
2019,11.52
2020,11.78
2021,12.95
2022,7.06
2023,10.61
