date,mean winter surface temperature
1968,4.42
1969,4.69
1970,4.16
1971,4.38
1972,4.85
1973,4.75
1974,4.48
1975,5.37
1976,4.98
1977,4.53
1978,4.99
1979,4.76
1980,4.97
1981,4.5
1982,4.47
1983,5.47
1984,4.92
1985,4.08
1986,4.7
1987,4.12
1988,5.5
1989,5.18
1990,5.04
1991,5.09
1992,4.83
1993,5.0
1994,4.99
1995,5.21
1996,5.06
1997,4.53
1998,5.61
1999,5.28
2000,4.78
2001,5.87
2002,5.04
2003,5.84
2004,5.24
2005,5.2
2006,4.49
2007,6.02
2008,5.52
2009,5.16
2010,4.96
2011,4.99
2012,5.39
2013,5.52
2014,5.49
2015,5.56
2016,6.24
2017,5.48
2018,5.68
2019,5.49
2020,6.43
2021,6.11
2022,6.09
2023,6.59
