date,minimum surface temperature
1968,4.0
1969,4.2
1970,3.8
1971,3.4
1972,4.3
1973,4.3
1974,4.4
1975,4.9
1976,4.3
1977,4.4
1978,4.5
1979,4.5
1980,4.6
1981,4.3
1982,4.2
1983,4.5
1984,4.1
1985,3.7
1986,2.9
1987,3.7
1988,4.5
1989,4.9
1990,4.8
1991,4.5
1992,4.6
1993,4.5
1994,4.8
1995,5.2
1996,4.7
1997,4.3
1998,5.0
1999,4.6
2000,4.6
2001,5.2
2002,5.0
2003,4.8
2004,4.6
2005,4.4
2006,3.9
2007,5.2
2008,5.3
2009,4.9
2010,4.5
2011,4.4
2012,4.2
2013,4.2
2014,5.2
2015,5.0
2016,5.6
2017,5.1
2018,5.1
2019,5.0
2020,5.8
2021,6.0
2022,5.7
2023,5.7
