date,mean annual hypolimnetic density
1988,1000.1298
1989,1000.1241
1990,1000.1263
1991,1000.1302
1992,1000.1256
1993,1000.1295
1994,1000.1194
1995,1000.1147
1996,1000.1154
1997,1000.1088
1998,1000.1091
1999,1000.1157
2000,1000.1179
2001,1000.1151
2002,1000.1149
2003,1000.114
2004,1000.1169
2005,1000.1207
2006,1000.1257
2007,1000.12
2008,1000.1179
2009,1000.1189
2010,1000.1204
2011,1000.1217
2012,1000.1211
2013,1000.1242
2014,1000.1209
2015,1000.1181
2016,1000.1141
2017,1000.1156
2018,1000.1208
2019,1000.1162
2020,1000.1129
