date,mean winter hypolimnetic density
1988,1000.1186
1989,1000.1178
1990,1000.1213
1991,1000.1291
1993,1000.1233
1994,1000.1326
1995,1000.1163
1996,1000.1135
1997,1000.118
1998,1000.108
1999,1000.1126
2000,1000.118
2001,1000.1173
2002,1000.1171
2003,1000.1105
2004,1000.1162
2005,1000.1164
2006,1000.1217
2007,1000.1231
2008,1000.1206
2009,1000.1181
2010,1000.1196
2011,1000.1216
2012,1000.1205
2013,1000.1204
2014,1000.1224
2015,1000.1184
2016,1000.1147
2017,1000.1148
2018,1000.1171
2019,1000.1192
2020,1000.1146
2021,1000.1071
