date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1972,36.0
1973,36.0
1974,36.0
1975,36.0
1976,36.0
1977,36.0
1978,36.0
1979,36.0
1980,36.0
1981,36.0
1982,36.0
1983,36.0
1984,36.0
1985,36.0
1986,36.0
1987,36.0
1988,36.0
1989,36.0
1990,36.0
1991,36.0
1992,36.0
1993,36.0
1994,36.0
1995,36.0
1996,36.0
1997,36.0
1998,36.0
1999,36.0
2000,36.0
2003,36.0
2004,36.0
2005,36.0
2007,36.0
2008,36.0
2009,36.0
2010,36.0
2011,36.0
2013,36.0
2014,25.0
2015,36.0
2016,36.0
2017,36.0
2018,36.0
2019,36.0
2020,36.0
2021,19.0
2022,36.0
2023,36.0
