date,mean autumn bottom oxygen concentration
1972,1.65
1974,0.95
1975,0.83
1976,0.58
1977,0.8
1978,0.56
1979,0.64
1980,0.34
1981,0.2
1982,0.4
1983,0.56
1984,0.43
1985,0.4
1986,0.21
1987,0.2
1988,0.16
1989,0.17
1990,0.31
1991,0.41
1992,0.42
1993,0.44
1994,0.36
1995,1.46
1996,0.46
1997,0.2
1998,0.21
1999,1.02
2000,0.26
2001,0.89
2002,0.02
2003,0.16
2004,0.09
2005,1.25
2006,0.7
2007,0.41
2008,1.04
2009,0.51
2010,0.57
2011,1.45
2012,0.41
2013,1.22
2014,0.31
2015,0.24
2016,0.1
2017,0.2
2018,0.29
2019,0.38
2020,0.56
2021,0.74
2022,0.34
2023,0.75
