date,mean autumn epilimnion 0-10 m oxygen concentration
1972,8.83
1974,8.91
1975,9.18
1976,9.33
1977,9.63
1978,8.3
1979,8.59
1980,9.33
1981,9.16
1982,8.63
1983,8.45
1984,9.06
1985,8.86
1986,9.02
1987,9.14
1988,8.95
1989,8.19
1990,8.9
1991,8.31
1992,9.12
1993,9.35
1994,9.51
1995,8.91
1996,9.27
1997,9.05
1998,8.9
1999,8.33
2000,8.36
2001,9.56
2002,8.64
2003,8.68
2004,9.27
2005,9.03
2006,9.01
2007,8.96
2008,8.96
2009,8.61
2010,9.63
2011,9.11
2012,8.9
2013,8.95
2014,8.95
2015,9.28
2016,8.51
2017,8.97
2018,8.43
2019,8.83
2020,9.06
2021,8.89
2022,8.14
2023,8.38
