date,mean autumn hypolimnetic density
1972,1000.0185
1974,1000.0814
1975,1000.0423
1976,1000.1189
1977,999.9494
1978,1000.0022
1979,1000.0475
1980,1000.0146
1981,1000.0525
1982,1000.0341
1983,1000.0212
1984,1000.0692
1985,1000.0264
1986,1000.0646
1987,1000.0389
1988,1000.0684
1989,1000.0754
1990,1000.0767
1991,1000.1137
1992,1000.029
1993,1000.0529
1994,1000.027
1995,1000.0133
1996,1000.0807
1997,1000.0321
1998,1000.0461
1999,1000.0591
2000,1000.0484
2004,1000.1083
2005,1000.1226
2006,1000.0951
2007,1000.0222
2008,1000.044
2009,1000.1079
2010,1000.1072
2011,1000.1125
2012,1000.0766
2013,1000.0892
2014,1000.0817
2015,1000.0708
2016,1000.0841
2017,1000.0972
2018,1000.0962
2019,1000.0715
2020,1000.0676
2021,1000.051
2022,1000.0797
2023,1000.0552
